timestamp,aqi,pm2_5,pm10,co,no2,o3
2025-08-03 23:24:05,1,0.87,1.49,123.82,1.06,18.03
2025-08-03 23:25:02,1,0.87,1.49,123.82,1.06,18.03
2025-08-04 00:44:33,1,0.96,1.46,123.38,1.03,16.56
2025-08-04 15:05:06,1,0.54,0.58,97.5,0.47,29.2
2025-08-04 15:15:07,1,0.54,0.58,97.5,0.47,29.2
2025-08-04 15:25:08,1,0.54,0.58,97.5,0.47,29.2
2025-08-04 15:35:08,1,0.5,0.53,96.86,0.49,29.68
2025-08-04 15:45:09,1,0.5,0.53,96.86,0.49,29.68
